scenario,policy,seed_index,seed,stations,mcs,payload_bytes,load_skew,offered_mbps,received_packets,decision_count,learned_fallbacks,throughput_mbps,delay_mean_ms,delay_p95_ms,delay_p99_ms,fairness,decision_mean_us,decision_p95_us,decision_p99_us,decision_max_us,decision_deadline_miss_rate,inference_mean_us,inference_p95_us,inference_p99_us,inference_max_us,delivery_ratio
unseen_active_4,ml_throughput,3,920003,4,8,1000,0.3,88.8,11100,1079,3,88.8,7.261437,13.810459,16.254485,0.932801,309.221295,329.132,345.152,462.267,0.0,175.058297,183.983,193.189,226.971,1.0
unseen_active_4,ml_throughput,4,920004,4,8,1000,0.3,88.8,11100,1083,3,88.8,7.015428,13.362629,15.721337,0.929894,311.588149,337.332,362.601,467.828,0.0,176.018405,188.085,200.835,326.467,1.0
unseen_active_4,ml_throughput,5,920005,4,8,1000,0.3,88.8,11099,1098,4,88.792,7.145403,13.465567,15.939747,0.932865,343.440781,369.703,430.957,607.224,0.0,175.019203,183.807,195.916,218.836,0.9999099099099099
unseen_active_4,ml_throughput,6,920006,4,8,1000,0.3,88.8,11098,1081,4,88.784,7.14707,13.654861,16.022795,0.932664,308.161146,327.174,365.908,667.602,0.0,175.45538,183.896,202.129,314.752,0.9998198198198199
unseen_active_4,ml_throughput,7,920007,4,8,1000,0.3,88.8,11099,1084,4,88.792,7.173112,13.702059,16.070475,0.93174,312.82073,336.308,431.738,533.0,0.0,175.642864,186.874,222.845,253.942,0.9999099099099099
unseen_active_4,ml_throughput,8,920008,4,8,1000,0.3,88.8,11096,1083,4,88.768,7.231811,13.696719,16.192895,0.933982,313.064254,335.344,390.27,444.483,0.0,175.665682,186.429,208.039,292.745,0.9996396396396396
unseen_active_4,ml_throughput,9,920009,4,8,1000,0.3,88.8,11103,1079,3,88.824,7.103422,13.406595,15.871315,0.930612,314.134615,338.792,458.746,496.544,0.0,176.889162,191.788,226.253,306.619,1.0
unseen_active_4,oracle_delay,0,920000,4,8,1000,0.3,88.8,11100,1086,0,88.8,7.177429,11.037937,11.474765,0.932714,579.262182,628.593,872.883,1056.601,0.005525,0.0,0.0,0.0,0.0,1.0
unseen_active_4,oracle_delay,1,920001,4,8,1000,0.3,88.8,11097,1089,0,88.776,7.114978,10.945665,11.447029,0.931031,597.43587,695.053,1011.79,1040.283,0.018365,0.0,0.0,0.0,0.0,0.9997297297297297
unseen_active_4,oracle_delay,2,920002,4,8,1000,0.3,88.8,11100,1083,0,88.8,7.182749,11.043731,11.529215,0.93251,578.178856,636.356,675.506,1040.048,0.000923,0.0,0.0,0.0,0.0,1.0
